device_id,first_seen,associated_customer_ids
dev_0000000101,2024-02-11,cust_0000000093
dev_0000000102,2024-10-28,cust_0000000094
dev_0000000103,2026-01-28,cust_0000000095
dev_0000000104,2026-01-28,cust_0000000095
dev_0000000105,2025-03-26,cust_0000000096
dev_0000000106,2024-11-21,cust_0000000097
dev_0000000107,2024-02-16,cust_0000000098
dev_0000000108,2024-04-08,cust_0000000099
dev_0000000109,2025-09-11,cust_0000000100
dev_0000000110,2024-05-22,cust_0000000101
dev_0000000111,2025-03-15,cust_0000000102
dev_0000000112,2024-05-15,cust_0000000103
dev_0000000113,2024-02-26,cust_0000000104
dev_0000000114,2025-08-28,cust_0000000105
dev_0000000115,2025-01-17,cust_0000000106
dev_0000000116,2025-12-02,cust_0000000107
dev_0000000117,2025-02-08,cust_0000000108
dev_0000000118,2025-07-30,cust_0000000109
dev_0000000119,2024-06-12,cust_0000000110
dev_0000000120,2025-11-26,cust_0000000111
dev_0000000121,2025-11-26,cust_0000000111
dev_0000000122,2024-10-20,cust_0000000112
dev_0000000123,2026-03-21,cust_0000000113
dev_0000000124,2026-01-30,cust_0000000114
dev_0000000125,2026-02-05,cust_0000000115
dev_0000000126,2025-10-06,cust_0000000116
dev_0000000127,2024-06-23,cust_0000000117
dev_0000000128,2024-06-23,cust_0000000117
dev_0000000129,2024-07-29,cust_0000000118
dev_0000000130,2025-02-09,cust_0000000119
dev_0000000131,2024-06-19,cust_0000000120
dev_0000000132,2025-09-13,cust_0000000121
dev_0000000133,2025-12-10,cust_0000000122
dev_0000000134,2025-12-10,cust_0000000122
dev_0000000135,2025-06-17,cust_0000000123
dev_0000000136,2025-04-20,cust_0000000124
dev_0000000137,2025-04-20,cust_0000000124
dev_0000000138,2025-08-17,cust_0000000125
dev_0000000139,2024-04-19,cust_0000000126
dev_0000000140,2025-01-22,cust_0000000127
dev_0000000141,2025-11-07,cust_0000000128
dev_0000000142,2024-10-29,cust_0000000129
dev_0000000143,2026-04-02,cust_0000000130
dev_0000000144,2024-04-14,cust_0000000131
dev_0000000145,2024-10-26,cust_0000000132
dev_0000000146,2026-02-18,cust_0000000133
dev_0000000147,2026-02-18,cust_0000000133
dev_0000000148,2024-01-18,cust_0000000134
dev_0000000149,2024-12-02,cust_0000000135
dev_0000000150,2024-02-12,cust_0000000136
dev_0000000151,2024-12-05,cust_0000000137
dev_0000000152,2025-12-08,cust_0000000138
dev_0000000153,2024-12-20,cust_0000000139
dev_0000000154,2024-08-07,cust_0000000140
dev_0000000155,2025-02-28,cust_0000000141
dev_0000000156,2024-04-27,cust_0000000142
dev_0000000157,2026-02-15,cust_0000000143
dev_0000000158,2026-02-15,cust_0000000143
dev_0000000159,2024-02-21,cust_0000000144
dev_0000000160,2024-02-21,cust_0000000144
dev_0000000161,2025-07-16,cust_0000000145
dev_0000000162,2024-10-27,cust_0000000146
dev_0000000163,2025-08-02,cust_0000000147
dev_0000000164,2026-02-16,cust_0000000148
dev_0000000165,2026-02-16,cust_0000000148
dev_0000000166,2025-06-03,cust_0000000149
dev_0000000167,2025-06-03,cust_0000000149
dev_0000000168,2024-01-28,cust_0000000150
dev_0000000169,2025-03-11,cust_0000000151
dev_0000000170,2026-04-28,cust_0000000152
dev_0000000171,2026-04-28,cust_0000000152
dev_0000000172,2026-01-19,cust_0000000153
dev_0000000173,2026-01-16,cust_0000000154
dev_0000000174,2024-09-13,cust_0000000155
dev_0000000175,2024-08-12,cust_0000000156
dev_0000000176,2025-03-30,cust_0000000157
dev_0000000177,2025-02-08,cust_0000000158
dev_0000000178,2026-01-26,cust_0000000159
dev_0000000179,2024-09-14,cust_0000000160
dev_0000000180,2026-01-30,cust_0000000161
dev_0000000181,2024-09-17,cust_0000000162
dev_0000000182,2025-10-05,cust_0000000163
dev_0000000183,2024-05-29,cust_0000000164
dev_0000000184,2024-10-09,cust_0000000165
dev_0000000185,2025-12-17,cust_0000000166
dev_0000000186,2024-06-04,cust_0000000167
dev_0000000187,2025-10-01,cust_0000000168
dev_0000000188,2024-02-15,cust_0000000169
dev_0000000189,2024-05-19,cust_0000000170
dev_0000000190,2026-01-14,cust_0000000171
dev_0000000191,2025-01-11,cust_0000000172
dev_0000000192,2025-12-18,cust_0000000173
dev_0000000193,2026-04-19,cust_0000000174
dev_0000000194,2024-01-01,cust_0000000175
dev_0000000195,2026-03-02,cust_0000000176
dev_0000000196,2024-03-24,cust_0000000177
dev_0000000197,2025-06-14,cust_0000000178
dev_0000000198,2024-01-01,cust_0000000179
dev_0000000199,2025-09-23,cust_0000000180
dev_0000000200,2025-12-27,cust_0000000181
dev_0000000201,2025-05-04,cust_0000000182
dev_0000000202,2024-10-15,cust_0000000183
dev_0000000203,2025-03-27,cust_0000000184
dev_0000000204,2025-03-16,cust_0000000185
dev_0000000205,2024-01-29,cust_0000000186
dev_0000000206,2025-04-25,cust_0000000187
dev_0000000207,2024-01-08,cust_0000000188
dev_0000000208,2025-10-25,cust_0000000189
dev_0000000209,2024-02-22,cust_0000000190
dev_0000000210,2025-03-16,cust_0000000191
dev_0000000211,2025-07-01,cust_0000000192
dev_0000000212,2024-10-16,cust_0000000193
dev_0000000213,2025-09-30,cust_0000000194
dev_0000000214,2025-04-22,cust_0000000195
dev_0000000215,2024-01-17,cust_0000000196
dev_0000000216,2024-03-22,cust_0000000197
dev_0000000217,2024-08-02,cust_0000000198
dev_0000000218,2025-08-02,cust_0000000199
dev_0000000219,2026-03-27,cust_0000000200
dev_0000000220,2024-04-30,cust_0000000201
dev_0000000221,2024-12-27,cust_0000000202
dev_0000000222,2025-08-02,cust_0000000203
dev_0000000223,2025-04-18,cust_0000000204
dev_0000000224,2025-06-13,cust_0000000205
dev_0000000225,2024-09-28,cust_0000000206
dev_0000000226,2024-01-20,cust_0000000207
dev_0000000227,2025-04-28,cust_0000000208
dev_0000000228,2024-08-27,cust_0000000209
dev_0000000229,2025-07-16,cust_0000000210
dev_0000000230,2025-01-31,cust_0000000211
dev_0000000231,2025-01-31,cust_0000000211
dev_0000000232,2025-05-04,cust_0000000212
dev_0000000233,2025-01-04,cust_0000000213
dev_0000000234,2024-10-13,cust_0000000214
dev_0000000235,2025-05-26,cust_0000000215
dev_0000000236,2026-03-28,cust_0000000216
dev_0000000237,2025-12-22,cust_0000000217
dev_0000000238,2024-02-04,cust_0000000218
dev_0000000239,2025-08-21,cust_0000000219
dev_0000000240,2024-08-11,cust_0000000220
dev_0000000241,2025-10-03,cust_0000000221
dev_0000000242,2025-01-04,cust_0000000222
dev_0000000243,2025-01-04,cust_0000000222
dev_0000000244,2024-07-08,cust_0000000223
dev_0000000245,2024-07-08,cust_0000000223
dev_0000000246,2024-07-25,cust_0000000224
dev_0000000247,2024-04-28,cust_0000000225
dev_0000000248,2024-09-10,cust_0000000226
dev_0000000249,2024-03-02,cust_0000000227
dev_0000000250,2025-06-02,cust_0000000228
dev_0000000251,2025-05-21,cust_0000000229
dev_0000000252,2025-05-21,cust_0000000229
dev_0000000253,2025-05-27,cust_0000000230
dev_0000000254,2025-11-17,cust_0000000231
dev_0000000255,2025-11-17,cust_0000000231
dev_0000000256,2024-09-09,cust_0000000232
dev_0000000257,2024-11-28,cust_0000000233
dev_0000000258,2025-12-05,cust_0000000234
dev_0000000259,2023-12-30,cust_0000000235
dev_0000000260,2023-12-28,cust_0000000236
dev_0000000261,2024-08-13,cust_0000000237
dev_0000000262,2025-03-28,cust_0000000238
dev_0000000263,2024-08-03,cust_0000000239
dev_0000000264,2024-01-17,cust_0000000240
dev_0000000265,2023-12-28,cust_0000000241
dev_0000000266,2024-01-09,cust_0000000242
dev_0000000267,2026-01-15,cust_0000000243
dev_0000000268,2024-01-15,cust_0000000244
dev_0000000269,2025-03-24,cust_0000000245
dev_0000000270,2026-02-27,cust_0000000246
dev_0000000271,2025-01-04,cust_0000000247
dev_0000000272,2025-04-11,cust_0000000248
dev_0000000273,2025-06-12,cust_0000000249
dev_0000000274,2024-02-12,cust_0000000250
dev_0000000275,2024-02-12,cust_0000000250
dev_0000000276,2024-06-28,cust_0000000251
dev_0000000277,2025-05-25,cust_0000000252
dev_0000000278,2025-10-10,cust_0000000253
dev_0000000279,2025-10-10,cust_0000000253
dev_0000000280,2025-04-11,cust_0000000254
dev_0000000281,2024-09-20,cust_0000000255
dev_0000000282,2024-09-01,cust_0000000256
dev_0000000283,2025-10-08,cust_0000000257
dev_0000000284,2024-06-23,cust_0000000258
dev_0000000285,2024-12-05,cust_0000000259
dev_0000000286,2024-12-05,cust_0000000259
dev_0000000287,2025-01-09,cust_0000000260
dev_0000000288,2026-02-18,cust_0000000261
dev_0000000289,2025-04-28,cust_0000000262
dev_0000000290,2025-08-18,cust_0000000263
dev_0000000291,2026-01-19,cust_0000000264
dev_0000000292,2025-05-26,cust_0000000265
dev_0000000293,2025-07-07,cust_0000000266
dev_0000000294,2026-03-05,cust_0000000267
dev_0000000295,2025-08-13,cust_0000000268
dev_0000000296,2025-07-08,cust_0000000269
dev_0000000297,2024-01-16,cust_0000000270
dev_0000000298,2025-08-28,cust_0000000271
dev_0000000299,2024-12-31,cust_0000000272
dev_0000000300,2025-01-27,cust_0000000273
dev_0000000301,2024-11-09,cust_0000000274
dev_0000000302,2025-10-05,cust_0000000275
dev_0000000303,2025-07-05,cust_0000000276
dev_0000000304,2024-12-30,cust_0000000277
dev_0000000305,2024-10-27,cust_0000000278
dev_0000000306,2023-12-19,cust_0000000279
dev_0000000307,2024-09-25,cust_0000000280
dev_0000000308,2025-11-22,cust_0000000281
dev_0000000309,2025-11-22,cust_0000000281
dev_0000000310,2025-04-26,cust_0000000282
dev_0000000311,2025-04-26,cust_0000000282
dev_0000000312,2025-02-10,cust_0000000283
dev_0000000313,2024-02-06,cust_0000000284
dev_0000000314,2026-03-28,cust_0000000285
dev_0000000315,2023-12-28,cust_0000000286
dev_0000000316,2025-08-04,cust_0000000287
dev_0000000317,2025-08-04,cust_0000000287
dev_0000000318,2024-10-27,cust_0000000288
dev_0000000319,2024-09-02,cust_0000000289
dev_0000000320,2025-03-02,cust_0000000290
dev_0000000321,2026-05-01,cust_0000000291
dev_0000000322,2025-12-12,cust_0000000292
dev_0000000323,2025-03-03,cust_0000000293
dev_0000000324,2025-01-08,cust_0000000294
dev_0000000325,2025-09-18,cust_0000000295
dev_0000000326,2025-09-18,cust_0000000295
dev_0000000327,2024-02-27,cust_0000000296
dev_0000000328,2024-02-27,cust_0000000296
dev_0000000329,2025-10-16,cust_0000000297
dev_0000000330,2025-03-09,cust_0000000298
dev_0000000331,2024-08-21,cust_0000000299
dev_0000000332,2025-07-29,cust_0000000300
dev_0000000333,2026-04-24,cust_0000000301
dev_0000000334,2025-12-20,cust_0000000302
dev_0000000335,2025-10-04,cust_0000000303
dev_0000000336,2024-09-11,cust_0000000304
dev_0000000337,2024-04-20,cust_0000000305
dev_0000000338,2024-03-13,cust_0000000306
dev_0000000339,2025-09-23,cust_0000000307
dev_0000000340,2024-01-11,cust_0000000308
dev_0000000341,2025-06-22,cust_0000000309
dev_0000000342,2025-01-11,cust_0000000310
dev_0000000343,2025-10-26,cust_0000000311
dev_0000000344,2024-05-16,cust_0000000312
dev_0000000345,2025-07-05,cust_0000000313
dev_0000000346,2024-10-06,cust_0000000314
dev_0000000347,2024-10-06,cust_0000000314
dev_0000000348,2024-07-29,cust_0000000315
dev_0000000349,2025-12-25,cust_0000000316
dev_0000000350,2025-12-28,cust_0000000317
dev_0000000351,2024-06-10,cust_0000000318
dev_0000000352,2026-04-29,cust_0000000319
dev_0000000353,2024-12-16,cust_0000000320
dev_0000000354,2024-03-13,cust_0000000321
dev_0000000355,2024-03-13,cust_0000000321
dev_0000000356,2025-12-10,cust_0000000322
dev_0000000357,2026-03-20,cust_0000000323
dev_0000000358,2025-07-08,cust_0000000324
dev_0000000359,2026-04-17,cust_0000000325
dev_0000000360,2024-04-25,cust_0000000326
dev_0000000361,2024-11-17,cust_0000000327
dev_0000000362,2024-07-18,cust_0000000328
dev_0000000363,2024-12-25,cust_0000000329
dev_0000000364,2024-12-25,cust_0000000329
dev_0000000365,2025-12-23,cust_0000000330
dev_0000000366,2025-12-23,cust_0000000330
dev_0000000367,2026-04-22,cust_0000000331
dev_0000000368,2025-04-25,cust_0000000332
dev_0000000369,2024-03-19,cust_0000000333
dev_0000000370,2025-03-21,cust_0000000334
dev_0000000371,2025-11-28,cust_0000000335
dev_0000000372,2025-11-28,cust_0000000335
dev_0000000373,2023-12-29,cust_0000000336
dev_0000000374,2023-12-29,cust_0000000336
dev_0000000375,2025-03-20,cust_0000000337
dev_0000000376,2024-10-18,cust_0000000338
dev_0000000377,2024-07-26,cust_0000000339
dev_0000000378,2024-01-27,cust_0000000340
dev_0000000379,2024-03-07,cust_0000000341
dev_0000000380,2025-02-19,cust_0000000342
dev_0000000381,2025-02-19,cust_0000000342
dev_0000000382,2024-07-25,cust_0000000343
dev_0000000383,2024-07-25,cust_0000000343
dev_0000000384,2023-12-25,cust_0000000344
dev_0000000385,2024-03-21,cust_0000000345
dev_0000000386,2025-07-04,cust_0000000346
dev_0000000387,2025-05-12,cust_0000000347
dev_0000000388,2025-02-18,cust_0000000348
dev_0000000389,2025-06-08,cust_0000000349
dev_0000000390,2025-07-17,cust_0000000350
dev_0000000391,2025-07-11,cust_0000000351
dev_0000000392,2025-11-11,cust_0000000352
dev_0000000393,2024-03-27,cust_0000000353
dev_0000000394,2024-03-27,cust_0000000353
dev_0000000395,2024-01-05,cust_0000000354
dev_0000000396,2025-03-21,cust_0000000355
dev_0000000397,2026-04-25,cust_0000000356
dev_0000000398,2024-10-12,cust_0000000357
dev_0000000399,2025-10-11,cust_0000000358
dev_0000000400,2024-07-06,cust_0000000359
dev_0000000401,2026-01-31,cust_0000000360
dev_0000000402,2026-01-31,cust_0000000360
dev_0000000403,2024-01-24,cust_0000000361
dev_0000000404,2024-02-04,cust_0000000362
dev_0000000405,2026-02-07,cust_0000000363
dev_0000000406,2025-05-17,cust_0000000364
dev_0000000407,2025-09-24,cust_0000000365
dev_0000000408,2025-06-10,cust_0000000366
dev_0000000409,2025-08-18,cust_0000000367
dev_0000000410,2025-08-18,cust_0000000367
dev_0000000411,2026-01-26,cust_0000000368
dev_0000000412,2025-11-04,cust_0000000369
dev_0000000413,2025-10-12,cust_0000000370
dev_0000000414,2025-09-14,cust_0000000371
dev_0000000415,2024-10-13,cust_0000000372
dev_0000000416,2025-10-01,cust_0000000373
dev_0000000417,2025-10-01,cust_0000000373
dev_0000000418,2024-12-19,cust_0000000374
dev_0000000419,2025-01-26,cust_0000000375
dev_0000000420,2025-08-18,cust_0000000376
dev_0000000421,2024-03-21,cust_0000000377
dev_0000000422,2025-08-30,cust_0000000378
dev_0000000423,2025-01-21,cust_0000000379
dev_0000000424,2025-01-21,cust_0000000379
dev_0000000425,2025-06-24,cust_0000000380
dev_0000000426,2025-03-09,cust_0000000381
dev_0000000427,2025-03-09,cust_0000000381
dev_0000000428,2025-06-12,cust_0000000382
dev_0000000429,2025-09-24,cust_0000000383
dev_0000000430,2025-12-17,cust_0000000384
dev_0000000431,2024-11-19,cust_0000000385
dev_0000000432,2025-01-28,cust_0000000386
dev_0000000433,2025-01-28,cust_0000000386
dev_0000000434,2023-12-24,cust_0000000387
dev_0000000435,2023-12-24,cust_0000000387
dev_0000000436,2025-06-14,cust_0000000388
dev_0000000437,2024-02-22,cust_0000000389
dev_0000000438,2024-02-22,cust_0000000389
dev_0000000439,2024-02-12,cust_0000000390
dev_0000000440,2024-11-07,cust_0000000391
dev_0000000441,2024-05-13,cust_0000000392
dev_0000000442,2025-04-16,cust_0000000393
dev_0000000443,2025-01-07,cust_0000000394
dev_0000000444,2026-03-10,cust_0000000395
dev_0000000445,2025-04-20,cust_0000000396
dev_0000000446,2025-05-26,cust_0000000397
dev_0000000447,2025-05-07,cust_0000000398
dev_0000000448,2024-10-05,cust_0000000399
dev_0000000449,2024-11-14,cust_0000000400
dev_0000000450,2025-11-29,cust_0000000401
dev_0000000451,2024-12-11,cust_0000000402
dev_0000000452,2024-03-17,cust_0000000403
dev_0000000453,2025-12-04,cust_0000000404
dev_0000000454,2025-06-18,cust_0000000405
dev_0000000455,2024-03-15,cust_0000000406
dev_0000000456,2024-03-15,cust_0000000406
dev_0000000457,2025-02-14,cust_0000000407
dev_0000000458,2025-11-19,cust_0000000408
dev_0000000459,2025-05-12,cust_0000000409
dev_0000000460,2024-05-13,cust_0000000410
dev_0000000461,2024-10-09,cust_0000000411
dev_0000000462,2024-03-22,cust_0000000412
dev_0000000463,2024-06-25,cust_0000000413
dev_0000000464,2024-02-28,cust_0000000414
dev_0000000465,2025-09-05,cust_0000000415
dev_0000000466,2025-08-31,cust_0000000416
dev_0000000467,2025-11-07,cust_0000000417
dev_0000000468,2024-07-02,cust_0000000418
dev_0000000469,2025-09-23,cust_0000000419
dev_0000000470,2024-08-16,cust_0000000420
dev_0000000471,2024-09-13,cust_0000000421
dev_0000000472,2024-08-31,cust_0000000422
dev_0000000473,2025-04-11,cust_0000000423
dev_0000000474,2025-07-21,cust_0000000424
dev_0000000475,2025-03-02,cust_0000000425
dev_0000000476,2024-05-29,cust_0000000426
dev_0000000477,2024-02-19,cust_0000000427
dev_0000000478,2026-04-14,cust_0000000428
dev_0000000479,2024-07-08,cust_0000000429
dev_0000000480,2024-09-01,cust_0000000430
dev_0000000481,2025-08-24,cust_0000000431
dev_0000000482,2025-08-24,cust_0000000431
dev_0000000483,2025-06-21,cust_0000000432
dev_0000000484,2024-05-23,cust_0000000433
dev_0000000485,2025-06-18,cust_0000000434
dev_0000000486,2025-06-18,cust_0000000434
dev_0000000487,2024-06-08,cust_0000000435
dev_0000000488,2024-09-01,cust_0000000436
dev_0000000489,2024-09-01,cust_0000000436
dev_0000000490,2025-05-28,cust_0000000437
dev_0000000491,2024-01-31,cust_0000000438
dev_0000000492,2024-11-09,cust_0000000439
dev_0000000493,2024-10-29,cust_0000000440
dev_0000000494,2024-06-14,cust_0000000441
dev_0000000495,2025-10-20,cust_0000000442
dev_0000000496,2024-05-08,cust_0000000443
dev_0000000497,2025-02-16,cust_0000000444
dev_0000000498,2024-09-13,cust_0000000445
dev_0000000499,2026-04-12,cust_0000000446
dev_0000000500,2026-02-09,cust_0000000447
dev_0000000501,2025-07-28,cust_0000000448
dev_0000000502,2025-04-28,cust_0000000449
dev_0000000503,2025-04-28,cust_0000000449
dev_0000000504,2024-07-08,cust_0000000450
dev_0000000505,2024-05-09,cust_0000000451
dev_0000000506,2025-05-24,cust_0000000452
dev_0000000507,2024-06-04,cust_0000000453
dev_0000000508,2025-09-12,cust_0000000454
dev_0000000509,2026-02-08,cust_0000000455
dev_0000000510,2025-08-31,cust_0000000456
dev_0000000511,2026-05-02,cust_0000000457
dev_0000000512,2026-02-06,cust_0000000458
dev_0000000513,2026-02-06,cust_0000000458
dev_0000000514,2024-05-16,cust_0000000459
dev_0000000515,2026-03-07,cust_0000000460
dev_0000000516,2026-03-07,cust_0000000460
dev_0000000517,2025-01-19,cust_0000000461
dev_0000000518,2025-01-19,cust_0000000461
dev_0000000519,2025-04-29,cust_0000000462
dev_0000000520,2025-04-29,cust_0000000462
dev_0000000521,2025-09-21,cust_0000000463
dev_0000000522,2025-01-19,cust_0000000464
dev_0000000523,2025-06-16,cust_0000000465
dev_0000000524,2024-10-15,cust_0000000466
dev_0000000525,2026-02-17,cust_0000000467
dev_0000000526,2026-03-25,cust_0000000468
dev_0000000527,2026-03-25,cust_0000000468
dev_0000000528,2023-12-23,cust_0000000469
dev_0000000529,2025-11-27,cust_0000000470
dev_0000000530,2025-11-27,cust_0000000470
dev_0000000531,2024-04-01,cust_0000000471
dev_0000000532,2025-04-02,cust_0000000472
dev_0000000533,2024-10-09,cust_0000000473
dev_0000000534,2026-04-27,cust_0000000474
dev_0000000535,2024-05-12,cust_0000000475
dev_0000000536,2025-01-26,cust_0000000476
dev_0000000537,2025-01-26,cust_0000000476
dev_0000000538,2025-03-06,cust_0000000477
dev_0000000539,2025-09-20,cust_0000000478
dev_0000000540,2024-12-30,cust_0000000479
dev_0000000541,2026-01-07,cust_0000000480
dev_0000000542,2026-01-07,cust_0000000480
dev_0000000543,2024-12-28,cust_0000000481
dev_0000000544,2025-06-21,cust_0000000482
dev_0000000545,2024-03-15,cust_0000000483
dev_0000000546,2024-05-02,cust_0000000484
dev_0000000547,2024-05-02,cust_0000000484
dev_0000000548,2025-03-14,cust_0000000485
dev_0000000549,2025-07-11,cust_0000000486
dev_0000000550,2025-11-13,cust_0000000487
dev_0000000551,2024-03-17,cust_0000000488
dev_0000000552,2025-04-30,cust_0000000489
dev_0000000553,2024-10-13,cust_0000000490
dev_0000000554,2025-06-23,cust_0000000491
dev_0000000555,2025-07-09,cust_0000000492
dev_0000000556,2025-11-05,cust_0000000493
dev_0000000557,2024-09-01,cust_0000000494
dev_0000000558,2026-01-22,cust_0000000495
dev_0000000559,2026-01-22,cust_0000000495
dev_0000000560,2025-11-10,cust_0000000496
dev_0000000561,2024-05-19,cust_0000000497
dev_0000000562,2025-04-12,cust_0000000498
dev_0000000563,2025-07-25,cust_0000000499
dev_0000000564,2024-02-26,cust_0000000500
dev_0000000565,2024-02-26,cust_0000000500
dev_0000000566,2024-01-02,cust_0000000501
dev_0000000567,2025-08-23,cust_0000000502
dev_0000000568,2025-05-22,cust_0000000503
dev_0000000569,2025-05-22,cust_0000000503
dev_0000000570,2024-10-10,cust_0000000504
dev_0000000571,2026-02-02,cust_0000000505
dev_0000000572,2024-12-16,cust_0000000506
dev_0000000573,2025-04-22,cust_0000000507
dev_0000000574,2025-04-22,cust_0000000507
dev_0000000575,2024-06-04,cust_0000000508
dev_0000000576,2025-07-20,cust_0000000509
dev_0000000577,2025-06-03,cust_0000000510
dev_0000000578,2025-01-05,cust_0000000511
dev_0000000579,2026-03-02,cust_0000000512
dev_0000000580,2025-12-09,cust_0000000513
dev_0000000581,2024-04-11,cust_0000000514
dev_0000000582,2024-07-14,cust_0000000515
dev_0000000583,2024-01-09,cust_0000000516
dev_0000000584,2024-09-28,cust_0000000517
dev_0000000585,2024-04-25,cust_0000000518
dev_0000000586,2024-12-15,cust_0000000519
dev_0000000587,2024-02-08,cust_0000000520
dev_0000000588,2026-04-09,cust_0000000521
dev_0000000589,2025-10-06,cust_0000000522
dev_0000000590,2026-04-28,cust_0000000523
dev_0000000591,2024-03-27,cust_0000000524
dev_0000000592,2024-12-27,cust_0000000525
dev_0000000593,2024-12-27,cust_0000000525
dev_0000000594,2025-04-19,cust_0000000526
dev_0000000595,2025-01-21,cust_0000000527
dev_0000000596,2025-01-21,cust_0000000527
dev_0000000597,2024-06-13,cust_0000000528
dev_0000000598,2024-12-01,cust_0000000529
dev_0000000599,2024-12-01,cust_0000000529
dev_0000000600,2026-01-20,cust_0000000530
dev_0000000601,2025-03-09,cust_0000000531
dev_0000000602,2024-08-06,cust_0000000532
dev_0000000603,2025-06-15,cust_0000000533
dev_0000000604,2024-03-27,cust_0000000534
dev_0000000605,2025-08-28,cust_0000000535
dev_0000000606,2026-03-06,cust_0000000536
