instrument_id,first_seen,associated_customer_ids
inst_0000000045,2024-01-17,cust_0000000039
inst_0000000046,2025-03-31,cust_0000000040
inst_0000000047,2024-06-24,cust_0000000041
inst_0000000048,2024-07-30,cust_0000000042
inst_0000000049,2024-03-08,cust_0000000043
inst_0000000050,2024-08-13,cust_0000000044
inst_0000000051,2025-11-30,cust_0000000045
inst_0000000052,2025-02-28,cust_0000000046
inst_0000000053,2024-11-03,cust_0000000047
inst_0000000054,2024-11-01,cust_0000000048
inst_0000000055,2026-03-27,cust_0000000049
inst_0000000056,2024-10-05,cust_0000000050
inst_0000000057,2024-12-07,cust_0000000051
inst_0000000058,2023-12-23,cust_0000000052
inst_0000000059,2024-12-04,cust_0000000053
inst_0000000060,2025-05-04,cust_0000000054
inst_0000000061,2025-05-04,cust_0000000054
inst_0000000062,2026-02-20,cust_0000000055
inst_0000000063,2025-04-14,cust_0000000056
inst_0000000064,2025-04-14,cust_0000000056
inst_0000000065,2025-03-17,cust_0000000057
inst_0000000066,2025-01-13,cust_0000000058
inst_0000000067,2026-04-14,cust_0000000059
inst_0000000068,2025-01-15,cust_0000000060
inst_0000000069,2026-01-28,cust_0000000061
inst_0000000070,2026-01-28,cust_0000000061
inst_0000000071,2025-10-02,cust_0000000062
inst_0000000072,2024-07-03,cust_0000000063
inst_0000000073,2024-01-05,cust_0000000064
inst_0000000074,2024-01-05,cust_0000000064
inst_0000000075,2025-01-05,cust_0000000065
inst_0000000076,2025-03-28,cust_0000000066
inst_0000000077,2025-03-28,cust_0000000066
inst_0000000078,2024-01-24,cust_0000000067
inst_0000000079,2024-03-06,cust_0000000068
inst_0000000080,2024-03-06,cust_0000000068
inst_0000000081,2025-12-10,cust_0000000069
inst_0000000082,2024-01-10,cust_0000000070
inst_0000000083,2024-07-20,cust_0000000071
inst_0000000084,2026-01-22,cust_0000000072
inst_0000000085,2024-06-30,cust_0000000073
inst_0000000086,2024-03-22,cust_0000000074
inst_0000000087,2025-09-16,cust_0000000075
inst_0000000088,2026-04-05,cust_0000000076
inst_0000000089,2025-12-20,cust_0000000077
inst_0000000090,2024-08-14,cust_0000000078
inst_0000000091,2025-08-06,cust_0000000079
inst_0000000092,2025-02-22,cust_0000000080
inst_0000000093,2026-04-20,cust_0000000081
inst_0000000094,2026-04-17,cust_0000000082
inst_0000000095,2025-02-16,cust_0000000083
inst_0000000096,2025-05-05,cust_0000000084
inst_0000000097,2024-08-18,cust_0000000085
inst_0000000098,2025-04-20,cust_0000000086
inst_0000000099,2025-05-22,cust_0000000087
inst_0000000100,2025-02-14,cust_0000000088
inst_0000000101,2025-08-26,cust_0000000089
inst_0000000102,2025-08-26,cust_0000000089
inst_0000000103,2024-11-29,cust_0000000090
inst_0000000104,2026-01-30,cust_0000000091
inst_0000000105,2026-01-30,cust_0000000091
inst_0000000106,2026-04-27,cust_0000000092
inst_0000000107,2024-02-11,cust_0000000093
inst_0000000108,2024-10-28,cust_0000000094
inst_0000000109,2024-10-28,cust_0000000094
inst_0000000110,2026-01-28,cust_0000000095
inst_0000000111,2026-01-28,cust_0000000095
inst_0000000112,2025-03-26,cust_0000000096
inst_0000000113,2024-11-21,cust_0000000097
inst_0000000114,2024-02-16,cust_0000000098
inst_0000000115,2024-04-08,cust_0000000099
inst_0000000116,2024-04-08,cust_0000000099
inst_0000000117,2025-09-11,cust_0000000100
inst_0000000118,2024-05-22,cust_0000000101
inst_0000000119,2025-03-15,cust_0000000102
inst_0000000120,2024-05-15,cust_0000000103
inst_0000000121,2024-02-26,cust_0000000104
inst_0000000122,2024-02-26,cust_0000000104
inst_0000000123,2025-08-28,cust_0000000105
inst_0000000124,2025-01-17,cust_0000000106
inst_0000000125,2025-12-02,cust_0000000107
inst_0000000126,2025-02-08,cust_0000000108
inst_0000000127,2025-07-30,cust_0000000109
inst_0000000128,2025-07-30,cust_0000000109
inst_0000000129,2024-06-12,cust_0000000110
inst_0000000130,2025-11-26,cust_0000000111
inst_0000000131,2024-10-20,cust_0000000112
inst_0000000132,2024-10-20,cust_0000000112
inst_0000000133,2026-03-21,cust_0000000113
inst_0000000134,2026-01-30,cust_0000000114
inst_0000000135,2026-02-05,cust_0000000115
inst_0000000136,2025-10-06,cust_0000000116
inst_0000000137,2024-06-23,cust_0000000117
inst_0000000138,2024-07-29,cust_0000000118
inst_0000000139,2024-07-29,cust_0000000118
inst_0000000140,2025-02-09,cust_0000000119
inst_0000000141,2024-06-19,cust_0000000120
inst_0000000142,2025-09-13,cust_0000000121
inst_0000000143,2025-12-10,cust_0000000122
inst_0000000144,2025-06-17,cust_0000000123
inst_0000000145,2025-04-20,cust_0000000124
inst_0000000146,2025-08-17,cust_0000000125
inst_0000000147,2024-04-19,cust_0000000126
inst_0000000148,2024-04-19,cust_0000000126
inst_0000000149,2025-01-22,cust_0000000127
inst_0000000150,2025-11-07,cust_0000000128
inst_0000000151,2024-10-29,cust_0000000129
inst_0000000152,2026-04-02,cust_0000000130
inst_0000000153,2024-04-14,cust_0000000131
inst_0000000154,2024-10-26,cust_0000000132
inst_0000000155,2026-02-18,cust_0000000133
inst_0000000156,2026-02-18,cust_0000000133
inst_0000000157,2024-01-18,cust_0000000134
inst_0000000158,2024-12-02,cust_0000000135
inst_0000000159,2024-12-02,cust_0000000135
inst_0000000160,2024-02-12,cust_0000000136
inst_0000000161,2024-12-05,cust_0000000137
inst_0000000162,2025-12-08,cust_0000000138
inst_0000000163,2024-12-20,cust_0000000139
inst_0000000164,2024-08-07,cust_0000000140
inst_0000000165,2025-02-28,cust_0000000141
inst_0000000166,2024-04-27,cust_0000000142
inst_0000000167,2026-02-15,cust_0000000143
inst_0000000168,2024-02-21,cust_0000000144
inst_0000000169,2025-07-16,cust_0000000145
inst_0000000170,2024-10-27,cust_0000000146
inst_0000000171,2025-08-02,cust_0000000147
inst_0000000172,2026-02-16,cust_0000000148
inst_0000000173,2025-06-03,cust_0000000149
inst_0000000174,2024-01-28,cust_0000000150
inst_0000000175,2025-03-11,cust_0000000151
inst_0000000176,2026-04-28,cust_0000000152
inst_0000000177,2026-01-19,cust_0000000153
inst_0000000178,2026-01-19,cust_0000000153
inst_0000000179,2026-01-16,cust_0000000154
inst_0000000180,2024-09-13,cust_0000000155
inst_0000000181,2024-08-12,cust_0000000156
inst_0000000182,2025-03-30,cust_0000000157
inst_0000000183,2025-02-08,cust_0000000158
inst_0000000184,2025-02-08,cust_0000000158
inst_0000000185,2026-01-26,cust_0000000159
inst_0000000186,2024-09-14,cust_0000000160
inst_0000000187,2026-01-30,cust_0000000161
inst_0000000188,2024-09-17,cust_0000000162
inst_0000000189,2025-10-05,cust_0000000163
inst_0000000190,2024-05-29,cust_0000000164
inst_0000000191,2024-10-09,cust_0000000165
inst_0000000192,2025-12-17,cust_0000000166
inst_0000000193,2024-06-04,cust_0000000167
inst_0000000194,2025-10-01,cust_0000000168
inst_0000000195,2025-10-01,cust_0000000168
inst_0000000196,2024-02-15,cust_0000000169
inst_0000000197,2024-05-19,cust_0000000170
inst_0000000198,2024-05-19,cust_0000000170
inst_0000000199,2026-01-14,cust_0000000171
inst_0000000200,2025-01-11,cust_0000000172
inst_0000000201,2025-12-18,cust_0000000173
inst_0000000202,2026-04-19,cust_0000000174
inst_0000000203,2024-01-01,cust_0000000175
inst_0000000204,2026-03-02,cust_0000000176
inst_0000000205,2024-03-24,cust_0000000177
inst_0000000206,2025-06-14,cust_0000000178
inst_0000000207,2024-01-01,cust_0000000179
inst_0000000208,2025-09-23,cust_0000000180
inst_0000000209,2025-12-27,cust_0000000181
inst_0000000210,2025-05-04,cust_0000000182
inst_0000000211,2024-10-15,cust_0000000183
inst_0000000212,2025-03-27,cust_0000000184
inst_0000000213,2025-03-27,cust_0000000184
inst_0000000214,2025-03-16,cust_0000000185
inst_0000000215,2024-01-29,cust_0000000186
inst_0000000216,2025-04-25,cust_0000000187
inst_0000000217,2024-01-08,cust_0000000188
inst_0000000218,2025-10-25,cust_0000000189
inst_0000000219,2025-10-25,cust_0000000189
inst_0000000220,2024-02-22,cust_0000000190
inst_0000000221,2025-03-16,cust_0000000191
inst_0000000222,2025-07-01,cust_0000000192
inst_0000000223,2024-10-16,cust_0000000193
inst_0000000224,2025-09-30,cust_0000000194
inst_0000000225,2025-04-22,cust_0000000195
inst_0000000226,2024-01-17,cust_0000000196
inst_0000000227,2024-03-22,cust_0000000197
inst_0000000228,2024-03-22,cust_0000000197
inst_0000000229,2024-08-02,cust_0000000198
inst_0000000230,2025-08-02,cust_0000000199
inst_0000000231,2026-03-27,cust_0000000200
inst_0000000232,2024-04-30,cust_0000000201
inst_0000000233,2024-04-30,cust_0000000201
inst_0000000234,2024-12-27,cust_0000000202
inst_0000000235,2025-08-02,cust_0000000203
inst_0000000236,2025-04-18,cust_0000000204
inst_0000000237,2025-06-13,cust_0000000205
inst_0000000238,2024-09-28,cust_0000000206
inst_0000000239,2024-01-20,cust_0000000207
inst_0000000240,2025-04-28,cust_0000000208
inst_0000000241,2024-08-27,cust_0000000209
inst_0000000242,2024-08-27,cust_0000000209
inst_0000000243,2025-07-16,cust_0000000210
inst_0000000244,2025-01-31,cust_0000000211
inst_0000000245,2025-01-31,cust_0000000211
inst_0000000246,2025-05-04,cust_0000000212
inst_0000000247,2025-01-04,cust_0000000213
inst_0000000248,2025-01-04,cust_0000000213
inst_0000000249,2024-10-13,cust_0000000214
inst_0000000250,2025-05-26,cust_0000000215
inst_0000000251,2025-05-26,cust_0000000215
inst_0000000252,2026-03-28,cust_0000000216
inst_0000000253,2025-12-22,cust_0000000217
inst_0000000254,2024-02-04,cust_0000000218
inst_0000000255,2025-08-21,cust_0000000219
inst_0000000256,2024-08-11,cust_0000000220
inst_0000000257,2025-10-03,cust_0000000221
inst_0000000258,2025-01-04,cust_0000000222
inst_0000000259,2024-07-08,cust_0000000223
inst_0000000260,2024-07-25,cust_0000000224
inst_0000000261,2024-04-28,cust_0000000225
inst_0000000262,2024-09-10,cust_0000000226
inst_0000000263,2024-03-02,cust_0000000227
inst_0000000264,2025-06-02,cust_0000000228
inst_0000000265,2025-05-21,cust_0000000229
inst_0000000266,2025-05-27,cust_0000000230
inst_0000000267,2025-11-17,cust_0000000231
inst_0000000268,2024-09-09,cust_0000000232
inst_0000000269,2024-11-28,cust_0000000233
inst_0000000270,2025-12-05,cust_0000000234
inst_0000000271,2023-12-30,cust_0000000235
inst_0000000272,2023-12-30,cust_0000000235
inst_0000000273,2023-12-28,cust_0000000236
inst_0000000274,2024-08-13,cust_0000000237
inst_0000000275,2025-03-28,cust_0000000238
inst_0000000276,2024-08-03,cust_0000000239
inst_0000000277,2024-01-17,cust_0000000240
inst_0000000278,2023-12-28,cust_0000000241
inst_0000000279,2024-01-09,cust_0000000242
inst_0000000280,2026-01-15,cust_0000000243
inst_0000000281,2024-01-15,cust_0000000244
inst_0000000282,2024-01-15,cust_0000000244
inst_0000000283,2025-03-24,cust_0000000245
inst_0000000284,2026-02-27,cust_0000000246
inst_0000000285,2025-01-04,cust_0000000247
inst_0000000286,2025-04-11,cust_0000000248
inst_0000000287,2025-06-12,cust_0000000249
inst_0000000288,2024-02-12,cust_0000000250
inst_0000000289,2024-06-28,cust_0000000251
inst_0000000290,2025-05-25,cust_0000000252
inst_0000000291,2025-10-10,cust_0000000253
inst_0000000292,2025-10-10,cust_0000000253
inst_0000000293,2025-04-11,cust_0000000254
inst_0000000294,2024-09-20,cust_0000000255
inst_0000000295,2024-09-01,cust_0000000256
inst_0000000296,2025-10-08,cust_0000000257
inst_0000000297,2024-06-23,cust_0000000258
inst_0000000298,2024-12-05,cust_0000000259
inst_0000000299,2025-01-09,cust_0000000260
inst_0000000300,2026-02-18,cust_0000000261
inst_0000000301,2025-04-28,cust_0000000262
inst_0000000302,2025-08-18,cust_0000000263
inst_0000000303,2026-01-19,cust_0000000264
inst_0000000304,2026-01-19,cust_0000000264
inst_0000000305,2025-05-26,cust_0000000265
inst_0000000306,2025-07-07,cust_0000000266
inst_0000000307,2026-03-05,cust_0000000267
inst_0000000308,2025-08-13,cust_0000000268
inst_0000000309,2025-08-13,cust_0000000268
inst_0000000310,2025-07-08,cust_0000000269
inst_0000000311,2024-01-16,cust_0000000270
inst_0000000312,2024-01-16,cust_0000000270
inst_0000000313,2025-08-28,cust_0000000271
inst_0000000314,2024-12-31,cust_0000000272
inst_0000000315,2025-01-27,cust_0000000273
inst_0000000316,2024-11-09,cust_0000000274
inst_0000000317,2025-10-05,cust_0000000275
inst_0000000318,2025-07-05,cust_0000000276
inst_0000000319,2025-07-05,cust_0000000276
inst_0000000320,2024-12-30,cust_0000000277
inst_0000000321,2024-10-27,cust_0000000278
inst_0000000322,2023-12-19,cust_0000000279
inst_0000000323,2024-09-25,cust_0000000280
inst_0000000324,2025-11-22,cust_0000000281
inst_0000000325,2025-04-26,cust_0000000282
inst_0000000326,2025-02-10,cust_0000000283
inst_0000000327,2024-02-06,cust_0000000284
inst_0000000328,2026-03-28,cust_0000000285
inst_0000000329,2023-12-28,cust_0000000286
inst_0000000330,2025-08-04,cust_0000000287
inst_0000000331,2024-10-27,cust_0000000288
inst_0000000332,2024-09-02,cust_0000000289
inst_0000000333,2024-09-02,cust_0000000289
inst_0000000334,2025-03-02,cust_0000000290
inst_0000000335,2026-05-01,cust_0000000291
inst_0000000336,2025-12-12,cust_0000000292
inst_0000000337,2025-03-03,cust_0000000293
inst_0000000338,2025-01-08,cust_0000000294
inst_0000000339,2025-09-18,cust_0000000295
inst_0000000340,2024-02-27,cust_0000000296
inst_0000000341,2025-10-16,cust_0000000297
inst_0000000342,2025-03-09,cust_0000000298
inst_0000000343,2024-08-21,cust_0000000299
inst_0000000344,2024-08-21,cust_0000000299
inst_0000000345,2025-07-29,cust_0000000300
inst_0000000346,2026-04-24,cust_0000000301
inst_0000000347,2025-12-20,cust_0000000302
inst_0000000348,2025-10-04,cust_0000000303
inst_0000000349,2024-09-11,cust_0000000304
inst_0000000350,2024-04-20,cust_0000000305
inst_0000000351,2024-03-13,cust_0000000306
inst_0000000352,2025-09-23,cust_0000000307
inst_0000000353,2024-01-11,cust_0000000308
inst_0000000354,2025-06-22,cust_0000000309
inst_0000000355,2025-01-11,cust_0000000310
inst_0000000356,2025-10-26,cust_0000000311
inst_0000000357,2024-05-16,cust_0000000312
inst_0000000358,2024-05-16,cust_0000000312
inst_0000000359,2025-07-05,cust_0000000313
inst_0000000360,2024-10-06,cust_0000000314
inst_0000000361,2024-10-06,cust_0000000314
inst_0000000362,2024-07-29,cust_0000000315
inst_0000000363,2024-07-29,cust_0000000315
inst_0000000364,2025-12-25,cust_0000000316
inst_0000000365,2025-12-28,cust_0000000317
inst_0000000366,2024-06-10,cust_0000000318
inst_0000000367,2026-04-29,cust_0000000319
inst_0000000368,2024-12-16,cust_0000000320
inst_0000000369,2024-03-13,cust_0000000321
inst_0000000370,2025-12-10,cust_0000000322
inst_0000000371,2026-03-20,cust_0000000323
inst_0000000372,2025-07-08,cust_0000000324
inst_0000000373,2026-04-17,cust_0000000325
inst_0000000374,2024-04-25,cust_0000000326
inst_0000000375,2024-11-17,cust_0000000327
inst_0000000376,2024-11-17,cust_0000000327
inst_0000000377,2024-07-18,cust_0000000328
inst_0000000378,2024-12-25,cust_0000000329
inst_0000000379,2025-12-23,cust_0000000330
inst_0000000380,2026-04-22,cust_0000000331
inst_0000000381,2025-04-25,cust_0000000332
inst_0000000382,2025-04-25,cust_0000000332
inst_0000000383,2024-03-19,cust_0000000333
inst_0000000384,2024-03-19,cust_0000000333
inst_0000000385,2025-03-21,cust_0000000334
inst_0000000386,2025-03-21,cust_0000000334
inst_0000000387,2025-11-28,cust_0000000335
inst_0000000388,2023-12-29,cust_0000000336
inst_0000000389,2025-03-20,cust_0000000337
inst_0000000390,2024-10-18,cust_0000000338
inst_0000000391,2024-07-26,cust_0000000339
inst_0000000392,2024-01-27,cust_0000000340
inst_0000000393,2024-03-07,cust_0000000341
inst_0000000394,2025-02-19,cust_0000000342
inst_0000000395,2025-02-19,cust_0000000342
inst_0000000396,2024-07-25,cust_0000000343
inst_0000000397,2023-12-25,cust_0000000344
inst_0000000398,2023-12-25,cust_0000000344
inst_0000000399,2024-03-21,cust_0000000345
inst_0000000400,2025-07-04,cust_0000000346
inst_0000000401,2025-05-12,cust_0000000347
inst_0000000402,2025-02-18,cust_0000000348
inst_0000000403,2025-06-08,cust_0000000349
inst_0000000404,2025-07-17,cust_0000000350
inst_0000000405,2025-07-11,cust_0000000351
inst_0000000406,2025-11-11,cust_0000000352
inst_0000000407,2024-03-27,cust_0000000353
inst_0000000408,2024-01-05,cust_0000000354
inst_0000000409,2024-01-05,cust_0000000354
inst_0000000410,2025-03-21,cust_0000000355
inst_0000000411,2026-04-25,cust_0000000356
inst_0000000412,2024-10-12,cust_0000000357
inst_0000000413,2025-10-11,cust_0000000358
inst_0000000414,2024-07-06,cust_0000000359
inst_0000000415,2026-01-31,cust_0000000360
inst_0000000416,2024-01-24,cust_0000000361
inst_0000000417,2024-02-04,cust_0000000362
inst_0000000418,2026-02-07,cust_0000000363
inst_0000000419,2025-05-17,cust_0000000364
inst_0000000420,2025-09-24,cust_0000000365
inst_0000000421,2025-06-10,cust_0000000366
inst_0000000422,2025-08-18,cust_0000000367
inst_0000000423,2026-01-26,cust_0000000368
inst_0000000424,2025-11-04,cust_0000000369
inst_0000000425,2025-10-12,cust_0000000370
inst_0000000426,2025-09-14,cust_0000000371
inst_0000000427,2024-10-13,cust_0000000372
inst_0000000428,2025-10-01,cust_0000000373
inst_0000000429,2024-12-19,cust_0000000374
inst_0000000430,2025-01-26,cust_0000000375
inst_0000000431,2025-08-18,cust_0000000376
inst_0000000432,2024-03-21,cust_0000000377
inst_0000000433,2025-08-30,cust_0000000378
inst_0000000434,2025-08-30,cust_0000000378
inst_0000000435,2025-01-21,cust_0000000379
inst_0000000436,2025-06-24,cust_0000000380
inst_0000000437,2025-03-09,cust_0000000381
inst_0000000438,2025-06-12,cust_0000000382
inst_0000000439,2025-09-24,cust_0000000383
inst_0000000440,2025-12-17,cust_0000000384
inst_0000000441,2024-11-19,cust_0000000385
inst_0000000442,2025-01-28,cust_0000000386
inst_0000000443,2023-12-24,cust_0000000387
inst_0000000444,2025-06-14,cust_0000000388
inst_0000000445,2024-02-22,cust_0000000389
inst_0000000446,2024-02-12,cust_0000000390
inst_0000000447,2024-11-07,cust_0000000391
inst_0000000448,2024-05-13,cust_0000000392
inst_0000000449,2025-04-16,cust_0000000393
inst_0000000450,2025-01-07,cust_0000000394
inst_0000000451,2026-03-10,cust_0000000395
inst_0000000452,2025-04-20,cust_0000000396
inst_0000000453,2025-05-26,cust_0000000397
inst_0000000454,2025-05-07,cust_0000000398
inst_0000000455,2024-10-05,cust_0000000399
inst_0000000456,2024-10-05,cust_0000000399
inst_0000000457,2024-11-14,cust_0000000400
inst_0000000458,2025-11-29,cust_0000000401
inst_0000000459,2024-12-11,cust_0000000402
inst_0000000460,2024-12-11,cust_0000000402
inst_0000000461,2024-03-17,cust_0000000403
inst_0000000462,2025-12-04,cust_0000000404
inst_0000000463,2025-12-04,cust_0000000404
inst_0000000464,2025-06-18,cust_0000000405
inst_0000000465,2024-03-15,cust_0000000406
inst_0000000466,2024-03-15,cust_0000000406
inst_0000000467,2025-02-14,cust_0000000407
inst_0000000468,2025-11-19,cust_0000000408
inst_0000000469,2025-05-12,cust_0000000409
inst_0000000470,2024-05-13,cust_0000000410
inst_0000000471,2024-10-09,cust_0000000411
inst_0000000472,2024-03-22,cust_0000000412
inst_0000000473,2024-06-25,cust_0000000413
inst_0000000474,2024-02-28,cust_0000000414
inst_0000000475,2024-02-28,cust_0000000414
inst_0000000476,2025-09-05,cust_0000000415
inst_0000000477,2025-09-05,cust_0000000415
inst_0000000478,2025-08-31,cust_0000000416
inst_0000000479,2025-11-07,cust_0000000417
inst_0000000480,2024-07-02,cust_0000000418
inst_0000000481,2025-09-23,cust_0000000419
inst_0000000482,2024-08-16,cust_0000000420
inst_0000000483,2024-09-13,cust_0000000421
inst_0000000484,2024-08-31,cust_0000000422
inst_0000000485,2025-04-11,cust_0000000423
inst_0000000486,2025-07-21,cust_0000000424
inst_0000000487,2025-03-02,cust_0000000425
inst_0000000488,2024-05-29,cust_0000000426
inst_0000000489,2024-02-19,cust_0000000427
inst_0000000490,2026-04-14,cust_0000000428
inst_0000000491,2024-07-08,cust_0000000429
inst_0000000492,2024-09-01,cust_0000000430
inst_0000000493,2025-08-24,cust_0000000431
inst_0000000494,2025-06-21,cust_0000000432
inst_0000000495,2024-05-23,cust_0000000433
inst_0000000496,2025-06-18,cust_0000000434
inst_0000000497,2024-06-08,cust_0000000435
inst_0000000498,2024-09-01,cust_0000000436
inst_0000000499,2025-05-28,cust_0000000437
inst_0000000500,2024-01-31,cust_0000000438
inst_0000000501,2024-11-09,cust_0000000439
inst_0000000502,2024-10-29,cust_0000000440
inst_0000000503,2024-06-14,cust_0000000441
inst_0000000504,2025-10-20,cust_0000000442
inst_0000000505,2024-05-08,cust_0000000443
inst_0000000506,2025-02-16,cust_0000000444
inst_0000000507,2024-09-13,cust_0000000445
inst_0000000508,2026-04-12,cust_0000000446
inst_0000000509,2026-02-09,cust_0000000447
inst_0000000510,2025-07-28,cust_0000000448
inst_0000000511,2025-04-28,cust_0000000449
inst_0000000512,2024-07-08,cust_0000000450
inst_0000000513,2024-05-09,cust_0000000451
inst_0000000514,2025-05-24,cust_0000000452
inst_0000000515,2024-06-04,cust_0000000453
inst_0000000516,2025-09-12,cust_0000000454
inst_0000000517,2026-02-08,cust_0000000455
inst_0000000518,2025-08-31,cust_0000000456
inst_0000000519,2026-05-02,cust_0000000457
inst_0000000520,2026-02-06,cust_0000000458
inst_0000000521,2024-05-16,cust_0000000459
inst_0000000522,2026-03-07,cust_0000000460
inst_0000000523,2025-01-19,cust_0000000461
inst_0000000524,2025-04-29,cust_0000000462
inst_0000000525,2025-09-21,cust_0000000463
inst_0000000526,2025-01-19,cust_0000000464
inst_0000000527,2025-01-19,cust_0000000464
inst_0000000528,2025-06-16,cust_0000000465
inst_0000000529,2024-10-15,cust_0000000466
inst_0000000530,2026-02-17,cust_0000000467
inst_0000000531,2026-03-25,cust_0000000468
inst_0000000532,2026-03-25,cust_0000000468
inst_0000000533,2023-12-23,cust_0000000469
inst_0000000534,2025-11-27,cust_0000000470
inst_0000000535,2025-11-27,cust_0000000470
inst_0000000536,2024-04-01,cust_0000000471
inst_0000000537,2025-04-02,cust_0000000472
inst_0000000538,2024-10-09,cust_0000000473
inst_0000000539,2026-04-27,cust_0000000474
inst_0000000540,2024-05-12,cust_0000000475
inst_0000000541,2025-01-26,cust_0000000476
inst_0000000542,2025-03-06,cust_0000000477
inst_0000000543,2025-03-06,cust_0000000477
inst_0000000544,2025-09-20,cust_0000000478
inst_0000000545,2024-12-30,cust_0000000479
inst_0000000546,2026-01-07,cust_0000000480
inst_0000000547,2026-01-07,cust_0000000480
inst_0000000548,2024-12-28,cust_0000000481
inst_0000000549,2025-06-21,cust_0000000482
inst_0000000550,2024-03-15,cust_0000000483
inst_0000000551,2024-05-02,cust_0000000484
inst_0000000552,2025-03-14,cust_0000000485
inst_0000000553,2025-07-11,cust_0000000486
inst_0000000554,2025-11-13,cust_0000000487
inst_0000000555,2024-03-17,cust_0000000488
inst_0000000556,2025-04-30,cust_0000000489
inst_0000000557,2024-10-13,cust_0000000490
inst_0000000558,2025-06-23,cust_0000000491
inst_0000000559,2025-07-09,cust_0000000492
inst_0000000560,2025-11-05,cust_0000000493
inst_0000000561,2024-09-01,cust_0000000494
inst_0000000562,2026-01-22,cust_0000000495
inst_0000000563,2025-11-10,cust_0000000496
inst_0000000564,2025-11-10,cust_0000000496
inst_0000000565,2024-05-19,cust_0000000497
inst_0000000566,2025-04-12,cust_0000000498
inst_0000000567,2025-04-12,cust_0000000498
inst_0000000568,2025-07-25,cust_0000000499
inst_0000000569,2024-02-26,cust_0000000500
inst_0000000570,2024-01-02,cust_0000000501
inst_0000000571,2025-08-23,cust_0000000502
inst_0000000572,2025-05-22,cust_0000000503
inst_0000000573,2024-10-10,cust_0000000504
inst_0000000574,2026-02-02,cust_0000000505
inst_0000000575,2026-02-02,cust_0000000505
inst_0000000576,2024-12-16,cust_0000000506
inst_0000000577,2025-04-22,cust_0000000507
inst_0000000578,2025-04-22,cust_0000000507
inst_0000000579,2024-06-04,cust_0000000508
inst_0000000580,2025-07-20,cust_0000000509
inst_0000000581,2025-06-03,cust_0000000510
inst_0000000582,2025-06-03,cust_0000000510
inst_0000000583,2025-01-05,cust_0000000511
inst_0000000584,2026-03-02,cust_0000000512
inst_0000000585,2025-12-09,cust_0000000513
inst_0000000586,2024-04-11,cust_0000000514
inst_0000000587,2024-07-14,cust_0000000515
inst_0000000588,2024-01-09,cust_0000000516
inst_0000000589,2024-09-28,cust_0000000517
inst_0000000590,2024-04-25,cust_0000000518
inst_0000000591,2024-12-15,cust_0000000519
inst_0000000592,2024-12-15,cust_0000000519
inst_0000000593,2024-02-08,cust_0000000520
inst_0000000594,2026-04-09,cust_0000000521
inst_0000000595,2025-10-06,cust_0000000522
inst_0000000596,2025-10-06,cust_0000000522
inst_0000000597,2026-04-28,cust_0000000523
inst_0000000598,2024-03-27,cust_0000000524
inst_0000000599,2024-12-27,cust_0000000525
inst_0000000600,2025-04-19,cust_0000000526
inst_0000000601,2025-04-19,cust_0000000526
inst_0000000602,2025-01-21,cust_0000000527
inst_0000000603,2024-06-13,cust_0000000528
inst_0000000604,2024-12-01,cust_0000000529
inst_0000000605,2026-01-20,cust_0000000530
